,,Month,Month,Passengers
,1,1995,1 -1995,112
,2,1995,2 -1995,118
,3,1995,3 -1995,132
,4,1995,4 -1995,129
,5,1995,5 -1995,121
,6,1995,6 -1995,135
,7,1995,7 -1995,148
,8,1995,8 -1995,148
,9,1995,9 -1995,136
,10,1995,10 -1995,119
,11,1995,11 -1995,104
,12,1995,12 -1995,118
,1,1996,1 -1996,115
,2,1996,2 -1996,126
,3,1996,3 -1996,141
,4,1996,4 -1996,135
,5,1996,5 -1996,125
,6,1996,6 -1996,149
,7,1996,7 -1996,170
,8,1996,8 -1996,170
,9,1996,9 -1996,158
,10,1996,10 -1996,133
,11,1996,11 -1996,114
,12,1996,12 -1996,140
,1,1997,1 -1997,145
,2,1997,2 -1997,150
,3,1997,3 -1997,178
,4,1997,4 -1997,163
,5,1997,5 -1997,172
,6,1997,6 -1997,178
,7,1997,7 -1997,199
,8,1997,8 -1997,199
,9,1997,9 -1997,184
,10,1997,10 -1997,162
,11,1997,11 -1997,146
,12,1997,12 -1997,166
,1,1998,1 -1998,171
,2,1998,2 -1998,180
,3,1998,3 -1998,193
,4,1998,4 -1998,181
,5,1998,5 -1998,183
,6,1998,6 -1998,218
,7,1998,7 -1998,230
,8,1998,8 -1998,242
,9,1998,9 -1998,209
,10,1998,10 -1998,191
,11,1998,11 -1998,172
,12,1998,12 -1998,194
,1,1999,1 -1999,196
,2,1999,2 -1999,196
,3,1999,3 -1999,236
,4,1999,4 -1999,235
,5,1999,5 -1999,229
,6,1999,6 -1999,243
,7,1999,7 -1999,264
,8,1999,8 -1999,272
,9,1999,9 -1999,237
,10,1999,10 -1999,211
,11,1999,11 -1999,180
,12,1999,12 -1999,201
,1,2000,1 -2000,204
,2,2000,2 -2000,188
,3,2000,3 -2000,235
,4,2000,4 -2000,227
,5,2000,5 -2000,234
,6,2000,6 -2000,264
,7,2000,7 -2000,302
,8,2000,8 -2000,293
,9,2000,9 -2000,259
,10,2000,10 -2000,229
,11,2000,11 -2000,203
,12,2000,12 -2000,229
,1,2001,1 -2001,242
,2,2001,2 -2001,233
,3,2001,3 -2001,267
,4,2001,4 -2001,269
,5,2001,5 -2001,270
,6,2001,6 -2001,315
,7,2001,7 -2001,364
,8,2001,8 -2001,347
,9,2001,9 -2001,312
,10,2001,10 -2001,274
,11,2001,11 -2001,237
,12,2001,12 -2001,278
,1,2002,1 -2002,284
,2,2002,2 -2002,277
,3,2002,3 -2002,317
,4,2002,4 -2002,313
,5,2002,5 -2002,318
,6,2002,6 -2002,374
,7,2002,7 -2002,413
,8,2002,8 -2002,405
,9,2002,9 -2002,355
,10,2002,10 -2002,306
,11,2002,11 -2002,271
,12,2002,12 -2002,306
